date,UMDF Channel Derivatives,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200302,Peak of Messages - 13:11:30,0,0,0,7574,"   5,3933"
20200302,MBO Ch.1 - FX Futures,0,0,0,1379,"   0,9182 "
20200302,MBO Ch.2 - FX Options,0,0,0,416,"   0,2328 "
20200302,MBO Ch.3 - Interest rate Futures,0,0,0,143,"   0,0876 "
20200302,MBO Ch.4 - Interest rate Option,0,0,0,1,"   0,0002 "
20200302,MBO Ch.5 - Commodity Futures,0,0,0,30,"   0,0200 "
20200302,MBO Ch.6 - Commodity Options,0,0,0,1,"   0,0002 "
20200302,MBO Ch.7 - Equity Index Futures,0,0,0,1325,"   0,8264 "
20200302,MBO Ch.8 - Market Maker Program,0,0,0,348,"   0,2329 "
20200302,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200302,MBO Ch.10 - Equity Index Fut-mini,0,0,0,3931,"   3,0749 "
20200303,Peak of Messages -,0,0,0,0,
20200303,MBO Ch.1 - FX Futures,4.748.924,3.001,"   2,0428",0,0 
20200303,MBO Ch.2 - FX Options,1.094.487,1.361,"   0,8872",0,0 
20200303,MBO Ch.3 - Interest rate Futures,2.285.414,7.942,"   4,8088",0,0 
20200303,MBO Ch.4 - Interest rate Option,71.917,935,"   0,6272",0,0 
20200303,MBO Ch.5 - Commodity Futures,87.295,122,"   0,0964",0,0 
20200303,MBO Ch.6 - Commodity Options,47.427,1.271,"   0,8302",0,0 
20200303,MBO Ch.7 - Equity Index Futures,5.780.751,1.809,"   1,1659",0,0 
20200303,MBO Ch.8 - Market Maker Program,5.922.085,574,"   0,3883",0,0 
20200303,MBO Ch.9 - FX Spot,2.367,13,"   0,0049",0,0 
20200303,MBO Ch.10 - Equity Index Fut-mini,22.295.218,3.686,"   3,1732",0,0 
20200306,Peak of Messages - 11:30:00,0,0,0,7918,"   5,3774"
20200306,MBO Ch.1 - FX Futures,4.166.991,2.856,"   2,4004",528,"   0,3461 "
20200306,MBO Ch.2 - FX Options,1.181.415,1.423,"   0,9252",1260,"   0,8446 "
20200306,MBO Ch.3 - Interest rate Futures,3.000.415,6.678,"   3,9533",34,"   0,0186 "
20200306,MBO Ch.4 - Interest rate Option,75.311,935,"   0,6224",752,"   0,4982 "
20200306,MBO Ch.5 - Commodity Futures,69.645,84,"   0,0597",14,"   0,0088 "
20200306,MBO Ch.6 - Commodity Options,48.099,1.695,"   1,1153",332,"   0,2171 "
20200306,MBO Ch.7 - Equity Index Futures,5.162.950,1.216,"   0,7613",788,"   0,4679 "
20200306,MBO Ch.8 - Market Maker Program,4.527.307,650,"   0,3860",212,"   0,1497 "
20200306,MBO Ch.9 - FX Spot,2.982,15,"   0,0050",2,"   0,0013 "
20200306,MBO Ch.10 - Equity Index Fut-mini,20.399.414,5.175,"   3,7134",3996,"   2,8250 "
20200309,Peak of Messages -,0,0,0,0,
20200309,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200309,MBO Ch.2 - FX Options,0,0,0,0,0 
20200309,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200309,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200309,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200309,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200309,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200309,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200309,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200309,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200310,Peak of Messages -,0,0,0,0,
20200310,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200310,MBO Ch.2 - FX Options,0,0,0,0,0 
20200310,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200310,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200310,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200310,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200310,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200310,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200310,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200310,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200311,Peak of Messages -,0,0,0,0,
20200311,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200311,MBO Ch.2 - FX Options,0,0,0,0,0 
20200311,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200311,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200311,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200311,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200311,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200311,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200311,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200311,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200313,Peak of Messages -,0,0,0,0,
20200313,MBO Ch.1 - FX Futures,5.131.542,3.301,"   2,6348",0,0 
20200313,MBO Ch.2 - FX Options,129.924,1.499,"   1,0196",0,0 
20200313,MBO Ch.3 - Interest rate Futures,6.220.832,9.544,"   5,8177",0,0 
20200313,MBO Ch.4 - Interest rate Option,92.296,1.010,"   0,6558",0,0 
20200313,MBO Ch.5 - Commodity Futures,54.187,107,"   0,0668",0,0 
20200313,MBO Ch.6 - Commodity Options,58.886,1.260,"   0,8171",0,0 
20200313,MBO Ch.7 - Equity Index Futures,2.453.242,1.330,"   0,8566",0,0 
20200313,MBO Ch.8 - Market Maker Program,2.795.583,934,"   0,5173",0,0 
20200313,MBO Ch.9 - FX Spot,2.990,15,"   0,0057",0,0 
20200313,MBO Ch.10 - Equity Index Fut-mini,8.265.439,3.426,"   2,3390",0,0 
20200316,Peak of Messages -,0,0,0,0,
20200316,MBO Ch.1 - FX Futures,5.697.068,3.567,"   2,5702",0,0 
20200316,MBO Ch.2 - FX Options,139.336,1.577,"   1,0612",0,0 
20200316,MBO Ch.3 - Interest rate Futures,6.096.010,7.093,"   4,1926",0,0 
20200316,MBO Ch.4 - Interest rate Option,100.750,1.002,"   0,6526",0,0 
20200316,MBO Ch.5 - Commodity Futures,36.010,152,"   0,0706",0,0 
20200316,MBO Ch.6 - Commodity Options,66.506,1.403,"   0,9023",0,0 
20200316,MBO Ch.7 - Equity Index Futures,3.952.236,1.721,"   1,1578",0,0 
20200316,MBO Ch.8 - Market Maker Program,2.162.370,588,"   0,3376",0,0 
20200316,MBO Ch.9 - FX Spot,2.814,16,"   0,0081",0,0 
20200316,MBO Ch.10 - Equity Index Fut-mini,9.242.550,2.696,"   1,9063",0,0 
20200317,Peak of Messages -,0,0,0,0,
20200317,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200317,MBO Ch.2 - FX Options,0,0,0,0,0 
20200317,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200317,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200317,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200317,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200317,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200317,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200317,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200317,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200318,Peak of Messages -,0,0,0,0,
20200318,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200318,MBO Ch.2 - FX Options,0,0,0,0,0 
20200318,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200318,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200318,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200318,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200318,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200318,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200318,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200318,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200319,Peak of Messages -,0,0,0,0,
20200319,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200319,MBO Ch.2 - FX Options,0,0,0,0,0 
20200319,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200319,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200319,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200319,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200319,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200319,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200319,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200319,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200320,Peak of Messages - 17:00:00,0,0,0,9568,"   6,1026"
20200320,MBO Ch.1 - FX Futures,5.683.437,1.964,"   1,4417",486,"   0,2914 "
20200320,MBO Ch.2 - FX Options,247.343,3.295,"   2,1727",2654,"   1,7303 "
20200320,MBO Ch.3 - Interest rate Futures,7.146.034,7.049,"   4,3211",230,"   0,1312 "
20200320,MBO Ch.4 - Interest rate Option,83.209,995,"   0,6386",877,"   0,5786 "
20200320,MBO Ch.5 - Commodity Futures,71.058,107,"   0,0742",15,"   0,0068 "
20200320,MBO Ch.6 - Commodity Options,28.600,1.252,"   0,8247",992,"   0,6375 "
20200320,MBO Ch.7 - Equity Index Futures,9.095.324,1.836,"   1,1858",1094,"   0,5789 "
20200320,MBO Ch.8 - Market Maker Program,1.268.742,727,"   0,4204",565,"   0,3466 "
20200320,MBO Ch.9 - FX Spot,2.506,15,"   0,0050",0,0 
20200320,MBO Ch.10 - Equity Index Fut-mini,27.744.756,4.217,"   3,2784",2655,"   1,8012 "
20200323,Peak of Messages -,0,0,0,0,
20200323,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200323,MBO Ch.2 - FX Options,0,0,0,0,0 
20200323,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200323,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200323,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200323,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200323,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200323,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200323,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200323,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200324,Peak of Messages -,0,0,0,0,
20200324,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200324,MBO Ch.2 - FX Options,0,0,0,0,0 
20200324,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200324,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200324,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200324,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200324,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200324,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200324,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200324,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200325,Peak of Messages -,0,0,0,0,
20200325,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200325,MBO Ch.2 - FX Options,0,0,0,0,0 
20200325,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200325,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200325,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200325,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200325,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200325,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200325,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200325,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200326,Peak of Messages -,0,0,0,0,
20200326,MBO Ch.1 - FX Futures,0,0,0,0,0 
20200326,MBO Ch.2 - FX Options,0,0,0,0,0 
20200326,MBO Ch.3 - Interest rate Futures,0,0,0,0,0 
20200326,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200326,MBO Ch.5 - Commodity Futures,0,0,0,0,0 
20200326,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200326,MBO Ch.7 - Equity Index Futures,0,0,0,0,0 
20200326,MBO Ch.8 - Market Maker Program,0,0,0,0,0 
20200326,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200326,MBO Ch.10 - Equity Index Fut-mini,0,0,0,0,0 
20200327,Peak of Messages -,0,0,0,0,
20200327,MBO Ch.1 - FX Futures,6.150.085,3.983,"   3,2271",0,0 
20200327,MBO Ch.2 - FX Options,1.159.765,3.090,"   2,0275",0,0 
20200327,MBO Ch.3 - Interest rate Futures,7.165.463,7.180,"   4,2495",0,0 
20200327,MBO Ch.4 - Interest rate Option,82.692,1.018,"   0,6622",0,0 
20200327,MBO Ch.5 - Commodity Futures,43.841,204,"   0,1330",0,0 
20200327,MBO Ch.6 - Commodity Options,41.593,1.327,"   0,8389",0,0 
20200327,MBO Ch.7 - Equity Index Futures,4.160.327,1.132,"   0,6420",0,0 
20200327,MBO Ch.8 - Market Maker Program,3.264.871,975,"   0,5543",0,0 
20200327,MBO Ch.9 - FX Spot,2.527,15,"   0,0077",0,0 
20200327,MBO Ch.10 - Equity Index Fut-mini,20.953.985,3.274,"   2,6410",0,0 
20200302,Peak of Messages - 13:11:30,0,0,0,7574,"   5,3933"
20200302,MBO Ch.1 - FX Futures,0,0,0,1379,"   0,9182 "
20200302,MBO Ch.2 - FX Options,0,0,0,416,"   0,2328 "
20200302,MBO Ch.3 - Interest rate Futures,0,0,0,143,"   0,0876 "
20200302,MBO Ch.4 - Interest rate Option,0,0,0,1,"   0,0002 "
20200302,MBO Ch.5 - Commodity Futures,0,0,0,30,"   0,0200 "
20200302,MBO Ch.6 - Commodity Options,0,0,0,1,"   0,0002 "
20200302,MBO Ch.7 - Equity Index Futures,0,0,0,1325,"   0,8264 "
20200302,MBO Ch.8 - Market Maker Program,0,0,0,348,"   0,2329 "
20200302,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200302,MBO Ch.10 - Equity Index Fut-mini,0,0,0,3931,"   3,0749 "
20200303,Peak of Messages -,0,0,0,0,
20200303,MBO Ch.1 - FX Futures,4.748.924,3.001,"   2,0428",0,0 
20200303,MBO Ch.2 - FX Options,1.094.487,1.361,"   0,8872",0,0 
