date,UMDF Channel Equities,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200102,Peak of Messages - 15:25:48,0,0,0,25088,"  16,0741"
20200102,"MBO Ch.51 - Mining - cash, termo, auction",1.360.941,1.268,"   1,3785",722,"   0,4702"
20200102,"MBO Ch.52 - Mining - options, exercise, strategies",12.258.265,5.589,"   3,3941",5146,"   3,2415"
20200102,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.258.412,1.367,"   1,0241",567,"   0,3717"
20200102,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",8.804.562,10.052,"   6,1522",3030,"   1,8761"
20200102,"MBO Ch.55 - Banks - cash, termo, auction",5.924.453,2.432,"   1,6630",1926,"   1,2669"
20200102,"MBO Ch.56 - Banks - options, exercise, strategies",9.484.640,5.914,"   3,7161",5914,"   3,7161"
20200102,"MBO Ch.57 - Other instruments - cash, termo, auction",6.082.935,2.036,"   6,1371",2036,"   1,2994"
20200102,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.414.449,2.789,"   1,8743",2789,"   1,8743"
20200102,MBO Ch.59 - OTC,18.574,90,"   0,0958",0,0
20200102,MBO Ch.60 - IBOVESPA Options,7.211.651,4.751,"   3,2748",2958,"   1,9579"
20200102,MBO Ch.62 - Index e Iopv,4.540,36,"   0,0413",0,0
20200103,Peak of Messages - 12:00:00,0,0,0,26045,"  16,3826"
20200103,"MBO Ch.51 - Mining - cash, termo, auction",1.348.880,972,"   1,5447",972,"   0,6424"
20200103,"MBO Ch.52 - Mining - options, exercise, strategies",13.604.000,7.582,"   4,4947",5729,"   3,6264"
20200103,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.566.213,954,"   1,1581",627,"   0,4712"
20200103,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",10.483.298,7.380,"   4,3914",4606,"   2,7427"
20200103,"MBO Ch.55 - Banks - cash, termo, auction",6.867.353,2.672,"   1,9195",2672,"   1,8067"
20200103,"MBO Ch.56 - Banks - options, exercise, strategies",10.400.263,5.703,"   3,5741",5369,"   3,3176"
20200103,"MBO Ch.57 - Other instruments - cash, termo, auction",7.109.321,2.660,"   6,5185",2660,"   1,6488"
20200103,"MBO Ch.58 - Other instruments - options, exercise, strategies",3.397.203,1.959,"   1,2849",1552,"   1,0338"
20200103,MBO Ch.59 - OTC,19.554,93,"   0,1077",2,"   0,0018"
20200103,MBO Ch.60 - IBOVESPA Options,8.553.109,4.868,"   3,3659",1853,"   1,0744"
20200103,MBO Ch.62 - Index e Iopv,3.517,41,"   0,0583",3,"   0,0169"
20200106,Peak of Messages - 15:06:30,0,0,0,26124,"  16,6992"
20200106,"MBO Ch.51 - Mining - cash, termo, auction",1.546.747,1.443,"   1,3460",1006,"   0,6630"
20200106,"MBO Ch.52 - Mining - options, exercise, strategies",14.450.850,7.709,"   4,7598",6348,"   3,9167"
20200106,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.814.307,1.024,"   1,2080",849,"   0,5786"
20200106,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",12.384.328,7.452,"   4,2332",4152,"   2,5884"
20200106,"MBO Ch.55 - Banks - cash, termo, auction",6.922.524,2.343,"   1,8807",1883,"   1,3257"
20200106,"MBO Ch.56 - Banks - options, exercise, strategies",9.523.971,5.208,"   3,1573",3763,"   2,3776"
20200106,"MBO Ch.57 - Other instruments - cash, termo, auction",7.694.925,2.955,"   6,3044",2261,"   1,4199"
20200106,"MBO Ch.58 - Other instruments - options, exercise, strategies",3.135.295,2.605,"   1,7146",2605,"   1,7146"
20200106,MBO Ch.59 - OTC,15.469,87,"   0,0916",0,0
20200106,MBO Ch.60 - IBOVESPA Options,9.319.378,4.447,"   3,0681",3254,"   2,0979"
20200106,MBO Ch.62 - Index e Iopv,3.488,37,"   0,0455",3,"   0,0168"
20200107,Peak of Messages - 12:30:16,0,0,0,28755,"  18,4243"
20200107,"MBO Ch.51 - Mining - cash, termo, auction",1.209.676,1.239,"   1,2294",1089,"   0,7194"
20200107,"MBO Ch.52 - Mining - options, exercise, strategies",12.208.357,8.409,"   5,1734",8409,"   5,1734"
20200107,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.328.903,796,"   1,0940",724,"   0,4646"
20200107,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",10.160.995,7.551,"   4,3955",4392,"   2,6682"
20200107,"MBO Ch.55 - Banks - cash, termo, auction",6.402.185,2.384,"   1,9342",1870,"   1,3016"
20200107,"MBO Ch.56 - Banks - options, exercise, strategies",9.957.384,5.594,"   3,4747",2583,"   1,6908"
20200107,"MBO Ch.57 - Other instruments - cash, termo, auction",7.136.551,2.327,"   6,2595",2138,"   1,3095"
20200107,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.542.689,2.715,"   1,7277",1326,"   0,8974"
20200107,MBO Ch.59 - OTC,17.352,96,"   0,0890",5,"   0,0022"
20200107,MBO Ch.60 - IBOVESPA Options,8.836.249,6.219,"   4,1971",6219,"   4,1971"
20200107,MBO Ch.62 - Index e Iopv,3.475,38,"   0,0455",0,0
20200108,Peak of Messages - 17:41:33,0,0,0,28605,"  18,4394"
20200108,"MBO Ch.51 - Mining - cash, termo, auction",1.319.100,1.091,"   1,1906",858,"   0,6172"
20200108,"MBO Ch.52 - Mining - options, exercise, strategies",14.785.113,8.527,"   5,0200",6243,"   3,8261"
20200108,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.468.052,954,"   1,0646",731,"   0,4952"
20200108,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",14.217.537,7.955,"   4,8168",4342,"   2,6058"
20200108,"MBO Ch.55 - Banks - cash, termo, auction",6.876.739,2.413,"   1,9557",1646,"   1,2380"
20200108,"MBO Ch.56 - Banks - options, exercise, strategies",11.389.137,5.479,"   3,3838",5263,"   3,3838"
20200108,"MBO Ch.57 - Other instruments - cash, termo, auction",7.911.016,2.849,"   4,2365",2416,"   1,5974"
20200108,"MBO Ch.58 - Other instruments - options, exercise, strategies",3.720.468,2.651,"   1,6878",2128,"   1,4126"
20200108,MBO Ch.59 - OTC,14.554,88,"   0,0877",0,0
20200108,MBO Ch.60 - IBOVESPA Options,9.077.031,5.195,"   3,6106",4978,"   3,2633"
20200108,MBO Ch.62 - Index e Iopv,3.451,38,"   0,0459",0,0
20200109,Peak of Messages -,0,0,0,0,
20200109,"MBO Ch.51 - Mining - cash, termo, auction",1.354.682,983,0,0,0
20200109,"MBO Ch.52 - Mining - options, exercise, strategies",16.128.918,8.277,0,0,0
20200109,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.434.123,957,0,0,0
20200109,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",11.562.527,5.606,0,0,0
20200109,"MBO Ch.55 - Banks - cash, termo, auction",6.730.778,2.708,0,0,0
20200109,"MBO Ch.56 - Banks - options, exercise, strategies",11.425.129,4.312,0,0,0
20200109,"MBO Ch.57 - Other instruments - cash, termo, auction",6.784.409,2.380,0,0,0
20200109,"MBO Ch.58 - Other instruments - options, exercise, strategies",3.016.790,2.373,0,0,0
20200109,MBO Ch.59 - OTC,13.085,91,0,0,0
20200109,MBO Ch.60 - IBOVESPA Options,9.650.646,4.732,0,0,0
20200109,MBO Ch.62 - Index e Iopv,3.477,38,0,0,0
20200110,Peak of Messages - 19:45:00,0,0,0,8015,"  12,7167"
20200110,"MBO Ch.51 - Mining - cash, termo, auction",1.084.693,880,"   1,3774",245,"   1,3774"
20200110,"MBO Ch.52 - Mining - options, exercise, strategies",13.683.267,7.479,"   4,4588",1124,"   0,7452"
20200110,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.205.113,802,"   1,0285",174,"   1,0285"
20200110,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",9.696.246,6.762,"   4,0260",1925,"   1,4493"
20200110,"MBO Ch.55 - Banks - cash, termo, auction",5.742.973,2.394,"   2,3027",519,"   2,3027"
20200110,"MBO Ch.56 - Banks - options, exercise, strategies",10.036.844,5.162,"   3,1688",1953,"   1,3008"
20200110,"MBO Ch.57 - Other instruments - cash, termo, auction",6.466.543,1.995,"   4,1987",1520,"   4,1987"
20200110,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.468.914,1.872,"   1,2036",374,"   0,1850"
20200110,MBO Ch.59 - OTC,16.000,89,"   0,0899",89,"   0,0899"
20200110,MBO Ch.60 - IBOVESPA Options,7.933.586,3.927,"   2,6754",89,"   0,0383"
20200110,MBO Ch.62 - Index e Iopv,3.434,36,"   0,0411",3,"   0,0009"
20200113,Peak of Messages - 13:28:38,0,0,0,26316,"  16,4851"
20200113,"MBO Ch.51 - Mining - cash, termo, auction",1.297.098,2.118,"   1,6037",1011,"   0,6938"
20200113,"MBO Ch.52 - Mining - options, exercise, strategies",16.842.765,6.884,"   4,1259",4653,"   2,8401"
20200113,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.268.707,855,"   0,9961",855,"   0,5113"
20200113,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",12.670.266,6.357,"   3,7927",5160,"   2,9766"
20200113,"MBO Ch.55 - Banks - cash, termo, auction",6.196.445,2.343,"   2,3817",2139,"   1,4964"
20200113,"MBO Ch.56 - Banks - options, exercise, strategies",8.666.986,5.617,"   3,3797",4354,"   2,8037"
20200113,"MBO Ch.57 - Other instruments - cash, termo, auction",5.802.953,3.133,"   5,7952",3133,"   2,0162"
20200113,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.286.915,2.580,"   1,6865",2552,"   1,6865"
20200113,MBO Ch.59 - OTC,12.021,87,"   0,0921",10,"   0,0048"
20200113,MBO Ch.60 - IBOVESPA Options,7.232.483,4.866,"   3,3973",2449,"   1,4558"
20200113,MBO Ch.62 - Index e Iopv,4.396,35,"   0,0545",0,0
20200114,Peak of Messages - 15:36:48,0,0,0,29088,"  18,0931"
20200114,"MBO Ch.51 - Mining - cash, termo, auction",1.310.138,1.326,"   1,3435",1177,"   0,7659"
20200114,"MBO Ch.52 - Mining - options, exercise, strategies",15.957.745,8.030,"   4,7233",6623,"   4,1302"
20200114,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.409.417,1.151,"   1,1208",822,"   0,5197"
20200114,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",12.571.471,8.971,"   5,3282",5187,"   2,8717"
20200114,"MBO Ch.55 - Banks - cash, termo, auction",6.186.129,2.555,"   2,4891",2447,"   1,6014"
20200114,"MBO Ch.56 - Banks - options, exercise, strategies",6.695.698,4.928,"   3,0808",3316,"   2,1250"
20200114,"MBO Ch.57 - Other instruments - cash, termo, auction",6.605.600,3.305,"   5,4563",3305,"   2,0450"
20200114,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.833.292,2.492,"   1,6788",1962,"   1,3140"
20200114,MBO Ch.59 - OTC,18.032,97,"   0,1851",0,0
20200114,MBO Ch.60 - IBOVESPA Options,6.494.435,6.514,"   4,4044",4249,"   2,7200"
20200114,MBO Ch.62 - Index e Iopv,3.392,28,"   0,0455",0,0
20200115,Peak of Messages - 11:34:37,0,0,0,26089,"  16,6583"
20200115,"MBO Ch.51 - Mining - cash, termo, auction",1.492.490,1.105,"   1,6206",1091,"   0,7106"
20200115,"MBO Ch.52 - Mining - options, exercise, strategies",18.490.207,9.306,"   5,6735",9306,"   5,6735"
20200115,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.333.825,959,"   1,1059",274,"   0,1757"
20200115,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",13.153.292,5.811,"   3,4115",2380,"   1,4246"
20200115,"MBO Ch.55 - Banks - cash, termo, auction",6.852.709,2.535,"   2,7480",2178,"   1,6525"
20200115,"MBO Ch.56 - Banks - options, exercise, strategies",8.128.186,6.133,"   3,7592",5384,"   3,4175"
20200115,"MBO Ch.57 - Other instruments - cash, termo, auction",7.126.905,1.998,"   4,6841",1884,"   1,1522"
20200115,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.546.087,2.266,"   1,4803",1499,"   1,0042"
20200115,MBO Ch.59 - OTC,14.098,98,"   0,0953",0,0
20200115,MBO Ch.60 - IBOVESPA Options,6.733.328,4.990,"   3,4189",2093,"   1,4475"
20200115,MBO Ch.62 - Index e Iopv,3.432,41,"   0,0583",0,0
20200116,Peak of Messages -,0,0,0,0,
20200116,"MBO Ch.51 - Mining - cash, termo, auction",1.416.059,1.197,0,0,0
20200116,"MBO Ch.52 - Mining - options, exercise, strategies",16.569.275,7.803,0,0,0
20200116,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.349.261,965,0,0,0
20200116,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",11.614.253,9.381,0,0,0
20200116,"MBO Ch.55 - Banks - cash, termo, auction",6.419.143,2.362,0,0,0
20200116,"MBO Ch.56 - Banks - options, exercise, strategies",8.016.332,4.987,0,0,0
20200116,"MBO Ch.57 - Other instruments - cash, termo, auction",6.641.665,2.173,0,0,0
20200116,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.852.203,2.258,0,0,0
20200116,MBO Ch.59 - OTC,18.193,87,0,0,0
20200116,MBO Ch.60 - IBOVESPA Options,6.238.592,4.213,0,0,0
20200116,MBO Ch.62 - Index e Iopv,3.416,26,0,0,0
20200117,Peak of Messages - 19:45:00,0,0,0,8465,"  14,0518"
20200117,"MBO Ch.51 - Mining - cash, termo, auction",1.253.411,961,"   1,4609",260,"   1,4609"
20200117,"MBO Ch.52 - Mining - options, exercise, strategies",15.002.419,8.387,"   5,2625",1521,"   0,9409"
20200117,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.196.621,1.019,"   1,2609",204,"   1,2609"
20200117,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",10.350.708,7.153,"   4,1225",2042,"   1,6766"
20200117,"MBO Ch.55 - Banks - cash, termo, auction",5.692.926,3.262,"   2,5489",538,"   2,5489"
20200117,"MBO Ch.56 - Banks - options, exercise, strategies",7.485.460,7.221,"   4,6091",1745,"   1,2198"
20200117,"MBO Ch.57 - Other instruments - cash, termo, auction",5.635.990,2.438,"   4,6017",1538,"   4,6017"
20200117,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.141.289,2.065,"   1,3774",452,"   0,2125"
20200117,MBO Ch.59 - OTC,11.507,93,"   0,0992",93,"   0,0992"
20200117,MBO Ch.60 - IBOVESPA Options,5.482.120,4.602,"   3,1223",69,"   0,0296"
20200117,MBO Ch.62 - Index e Iopv,3.454,39,"   0,0461",3,"   0,0009"
20200120,Peak of Messages - 17:41:37,0,0,0,25150,"  16,5460"
20200120,"MBO Ch.51 - Mining - cash, termo, auction",859.636,1.098,"   1,1627",792,"   0,6803"
20200120,"MBO Ch.52 - Mining - options, exercise, strategies",13.470.487,7.140,"   4,3909",6883,"   4,3158"
20200120,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",864.506,557,"   1,0291",449,"   0,3733"
20200120,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",8.040.483,6.413,"   3,6502",3989,"   2,3351"
20200120,"MBO Ch.55 - Banks - cash, termo, auction",4.606.171,2.324,"   2,1496",1714,"   1,2049"
20200120,"MBO Ch.56 - Banks - options, exercise, strategies",6.109.223,4.163,"   2,5766",3289,"   2,1855"
20200120,"MBO Ch.57 - Other instruments - cash, termo, auction",3.751.977,1.840,"   5,6438",1263,"   0,8606"
20200120,"MBO Ch.58 - Other instruments - options, exercise, strategies",1.706.417,1.932,"   1,3129",1932,"   1,3129"
20200120,MBO Ch.59 - OTC,9.399,86,"   0,0885",1,"   0,0004"
20200120,MBO Ch.60 - IBOVESPA Options,5.213.947,4.838,"   3,2772",4838,"   3,2772"
20200120,MBO Ch.62 - Index e Iopv,3.405,37,"   0,0408",0,0
20200121,Peak of Messages -,0,0,0,0,
20200121,"MBO Ch.51 - Mining - cash, termo, auction",1.280.984,1.123,0,0,0
20200121,"MBO Ch.52 - Mining - options, exercise, strategies",15.586.406,10.148,0,0,0
20200121,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.307.157,810,0,0,0
20200121,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",9.431.063,6.493,0,0,0
20200121,"MBO Ch.55 - Banks - cash, termo, auction",6.779.094,2.827,0,0,0
20200121,"MBO Ch.56 - Banks - options, exercise, strategies",8.167.432,5.400,0,0,0
20200121,"MBO Ch.57 - Other instruments - cash, termo, auction",7.292.477,2.468,0,0,0
20200121,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.921.026,2.702,0,0,0
20200121,MBO Ch.59 - OTC,12.027,88,0,0,0
20200121,MBO Ch.60 - IBOVESPA Options,7.561.376,4.789,0,0,0
20200121,MBO Ch.62 - Index e Iopv,3.488,29,0,0,0
20200122,Peak of Messages -,0,0,0,0,
20200122,"MBO Ch.51 - Mining - cash, termo, auction",0,0,0,0,0
20200122,"MBO Ch.52 - Mining - options, exercise, strategies",0,0,0,0,0
20200122,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",0,0,0,0,0
20200122,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",0,0,0,0,0
20200122,"MBO Ch.55 - Banks - cash, termo, auction",0,0,0,0,0
20200122,"MBO Ch.56 - Banks - options, exercise, strategies",0,0,0,0,0
20200122,"MBO Ch.57 - Other instruments - cash, termo, auction",0,0,0,0,0
20200122,"MBO Ch.58 - Other instruments - options, exercise, strategies",0,0,0,0,0
20200122,MBO Ch.59 - OTC,0,0,0,0,0
20200122,MBO Ch.60 - IBOVESPA Options,0,0,0,0,0
20200122,MBO Ch.62 - Index e Iopv,0,0,0,0,0
20200123,Peak of Messages -,0,0,0,0,
20200123,"MBO Ch.51 - Mining - cash, termo, auction",1.855.841,1.193,0,0,0
20200123,"MBO Ch.52 - Mining - options, exercise, strategies",18.111.557,8.114,0,0,0
20200123,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.636.773,1.166,0,0,0
20200123,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",12.308.006,7.531,0,0,0
20200123,"MBO Ch.55 - Banks - cash, termo, auction",7.414.032,2.556,0,0,0
20200123,"MBO Ch.56 - Banks - options, exercise, strategies",9.473.420,7.907,0,0,0
20200123,"MBO Ch.57 - Other instruments - cash, termo, auction",7.470.933,2.527,0,0,0
20200123,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.859.611,3.083,0,0,0
20200123,MBO Ch.59 - OTC,13.222,81,0,0,0
20200123,MBO Ch.60 - IBOVESPA Options,8.391.943,4.889,0,0,0
20200123,MBO Ch.62 - Index e Iopv,3.442,33,0,0,0
20200124,Peak of Messages -,0,0,0,0,
20200124,"MBO Ch.51 - Mining - cash, termo, auction",1.702.094,1.245,"   1,5026",0,0
20200124,"MBO Ch.52 - Mining - options, exercise, strategies",17.743.356,6.488,"   4,1442",0,0
20200124,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.537.322,1.386,"   1,1559",0,0
20200124,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",13.651.785,7.108,"   4,2438",0,0
20200124,"MBO Ch.55 - Banks - cash, termo, auction",6.946.549,2.798,"   2,5323",0,0
20200124,"MBO Ch.56 - Banks - options, exercise, strategies",8.276.595,5.102,"   3,2020",0,0
20200124,"MBO Ch.57 - Other instruments - cash, termo, auction",7.352.250,2.353,"   4,3940",0,0
20200124,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.600.599,2.531,"   1,7920",0,0
20200124,MBO Ch.59 - OTC,15.556,82,"   0,0955",0,0
20200124,MBO Ch.60 - IBOVESPA Options,10.133.291,4.603,"   3,2457",0,0
20200124,MBO Ch.62 - Index e Iopv,3.433,38,"   0,0433",0,0
20200127,Peak of Messages - 11:17:29,0,0,0,25514,"  15,8142"
